영구번호,화장실명,위도,경도,좌표정확도,좌표출처,카카오장소ID,카카오장소명,이름유사도,사유
WC002130,물놀이장화장실,37.54770253433,127.081114262784,A,kakao_place_bldg,26331658,물놀이장 개방화장실,0.62,"캠퍼스·단지 건물 좌표(구분어 물놀이장, 묶음 좌표에서 522m)"
WC002129,물새장화장실,37.5493270663508,127.082369881142,A,kakao_place_bldg,17556776,어린이 대공원 물새장,0.5,"캠퍼스·단지 건물 좌표(구분어 물새장, 묶음 좌표에서 436m)"
WC002128,숲속의무대3,37.54959254127676,127.08021665329476,A,kakao_place_bldg,26331157,숲속의무대3 개방화장실,0.71,"캠퍼스·단지 건물 좌표(구분어 숲속의무대, 묶음 좌표에서 298m)"
WC002127,숲속의무대2,37.5497390127314,127.080790555287,A,kakao_place_bldg,26335326,숲속의무대2 개방화장실,0.71,"캠퍼스·단지 건물 좌표(구분어 숲속의무대, 묶음 좌표에서 309m)"
WC002126,숲속의무대1,37.5487921739913,127.0806288415,A,kakao_place_bldg,1928655559,숲속의무대1 개방화장실,0.71,"캠퍼스·단지 건물 좌표(구분어 숲속의무대, 묶음 좌표에서 394m)"
WC002125,구의문화장실,37.5472825390751,127.083879462117,A,kakao_place_bldg,26332665,구의문 개방화장실,0.55,"캠퍼스·단지 건물 좌표(구분어 구의문, 묶음 좌표에서 692m)"
WC002124,테니스장화장실,37.5491265743359,127.085565405379,A,kakao_place_bldg,8007607,서울어린이대공원 테니스장,0.5,"캠퍼스·단지 건물 좌표(구분어 테니스장, 묶음 좌표에서 680m)"
WC002123,버섯화장실,37.5498668668635,127.083506650661,A,kakao_place_bldg,26334108,버섯 개방화장실,0.44,"캠퍼스·단지 건물 좌표(구분어 버섯, 묶음 좌표에서 481m)"
WC002122,분수대화장실,37.55002191960922,127.07812242695283,A,kakao_place_bldg,26335050,분수대 개방화장실,0.55,"캠퍼스·단지 건물 좌표(구분어 분수대, 묶음 좌표에서 229m)"
WC039846,선사체험교실 화장실,37.5625223919472,127.132601887068,A,kakao_place_bldg,1355727702,선사체험교실,1.0,"캠퍼스·단지 건물 좌표(구분어 선사체험교실, 묶음 좌표에서 335m)"
WC039842,부설주차장 화장실,37.5586038723657,127.131065907156,A,kakao_place_bldg,1458308451,암사역사공원 부설주차장,0.62,"캠퍼스·단지 건물 좌표(구분어 부설주차장, 묶음 좌표에서 140m)"
WC039027,추계예술대학교 황신덕기념관 화장실,37.56352078518203,126.95262844445077,A,kakao_place_bldg,8547255,추계예술대학교 황신덕기념관,1.0,"캠퍼스·단지 건물 좌표(구분어 황신덕기념관, 묶음 좌표에서 132m)"
WC039025,추계예술대학교 추계기념관 화장실,37.5629375336394,126.954133038137,A,kakao_place_bldg,24002709,추계예술대학교 추계기념관,1.0,"캠퍼스·단지 건물 좌표(구분어 추계기념관, 묶음 좌표에서 27m)"
WC039024,추계예술대학교 청사관 화장실,37.5631206249143,126.952335548793,A,kakao_place_bldg,17558509,추계예술대학교 청사관,1.0,"캠퍼스·단지 건물 좌표(구분어 청사관, 묶음 좌표에서 152m)"
WC039023,추계예술대학교 창조관 화장실,37.5624293559186,126.954092603474,A,kakao_place_bldg,21188959,추계예술대학교 창조관,1.0,"캠퍼스·단지 건물 좌표(구분어 창조관, 묶음 좌표에서 83m)"
WC039021,추계예술대학교 지송관 화장실,37.5620148447232,126.953957037875,A,kakao_place_bldg,27202649,추계 예술대학교 지송관,1.0,"캠퍼스·단지 건물 좌표(구분어 지송관, 묶음 좌표에서 130m)"
WC039016,경기대학교 한울관 화장실,37.56412611992872,126.96225230741713,A,kakao_place_bldg,27200667,경기대학교 한울관,1.0,"캠퍼스·단지 건물 좌표(구분어 한울관, 묶음 좌표에서 119m)"
WC039015,경기대학교 학생회관 화장실,37.56455223085542,126.9620642017858,A,kakao_place_bldg,1524964866,이마트24 SMART경기대서울학생회관점,0.48,"캠퍼스·단지 건물 좌표(구분어 학생회관, 묶음 좌표에서 73m)"
WC039013,경기대학교 충정관 화장실,37.5647712121083,126.962186333195,A,kakao_place_bldg,17558542,경기대학교 서울캠퍼스 충정관,0.76,"캠퍼스·단지 건물 좌표(구분어 충정관, 묶음 좌표에서 47m)"
WC039011,경기대학교 본관 화장실,37.56536950891249,126.96229695536877,A,kakao_place_bldg,17566841,경기대학교 서울캠퍼스 본관,0.74,"캠퍼스·단지 건물 좌표(구분어 본관, 묶음 좌표에서 20m)"
WC039009,경기대학교 금화도서관 화장실,37.5641872618026,126.961860651025,A,kakao_place_bldg,9673128,경기대학교 금화도서관,1.0,"캠퍼스·단지 건물 좌표(구분어 금화도서관, 묶음 좌표에서 117m)"
WC019846,하남종합운동장 화장실(테니스장),37.5685640176165,127.196310870108,A,kakao_place_bldg,501940861,하남종합운동장 제2테니스장,0.92,"캠퍼스·단지 건물 좌표(구분어 테니스장, 묶음 좌표에서 382m)"
WC019546,하남종합운동장 화장실(테니스장),37.5685640176165,127.196310870108,A,kakao_place_bldg,501940861,하남종합운동장 제2테니스장,0.92,"캠퍼스·단지 건물 좌표(구분어 테니스장, 묶음 좌표에서 382m)"
