영구번호,화장실명,종류,조치,위도,경도,등급,장소명,장소ID,근거
WC052659,신성교 입구,좌표없음,place,36.317218377078035,128.9890499020309,확인,신성교,10528286,"화장실명""신성교 입구"" — 카카오·네이버가 같은 시설로 확인(2m 차이)"
WC052546,꿈담 놀이터 화장실,좌표없음,place,36.1568783,128.4260661,추정,꿈담놀이터,,"화장실명""꿈담 놀이터 화장실"" — 네이버에서만 찾음(이름 유사 1.00) — 정확하지 않을 수 있음"
WC028070,장애인파크골프장 화장실(사무실 옆),좌표없음,place,36.1262067458169,128.356562452624,추정,구미시장애인파크골프장,66042679,"화장실명""장애인파크골프장 화장실(사무실 옆)"" — 카카오에서만 찾음(이름 유사 0.84) — 정확하지 않을 수 있음"
WC028069,장애인파크골프장 화장실,좌표없음,place,36.1262067458169,128.356562452624,추정,구미시장애인파크골프장,66042679,"화장실명""장애인파크골프장 화장실"" — 카카오에서만 찾음(이름 유사 0.84) — 정확하지 않을 수 있음"
WC028054,오태(임오)체육공원화장실,좌표없음,place,36.0844598,128.3653774,추정,임오체육공원,,"화장실명""오태(임오)체육공원화장실"" — 네이버에서만 찾음(이름 유사 0.83) — 정확하지 않을 수 있음"
WC027907,"그라운드골프장 화장실(지산교 옆, 수거식)",좌표없음,place,36.1258885619361,128.356012701369,확인,구미시그라운드골프장,1354727035,"화장실명""그라운드골프장 화장실(지산교 옆, 수거식)"" — 카카오·네이버가 같은 시설로 확인(28m 차이)"
WC027906,"그라운드골프장 화장실(신평교 옆, 수거식)",좌표없음,place,36.1258885619361,128.356012701369,확인,구미시그라운드골프장,1354727035,"화장실명""그라운드골프장 화장실(신평교 옆, 수거식)"" — 카카오·네이버가 같은 시설로 확인(28m 차이)"
WC005410,문동방파제,좌표없음,place,35.3059204446881,129.26016360968,확인,문동방파제,27085897,"화장실명""문동방파제"" — 카카오·네이버가 같은 시설로 확인(72m 차이)"
WC005897,장자호수생태체험관(2층),좌표없음,place,37.5830833927075,127.138607047366,확인,장자호수생태체험관,24323199,"화장실명""장자호수생태체험관(2층)"" — 카카오·네이버가 같은 시설로 확인(11m 차이)"
WC005896,장자호수생태체험관(1층),좌표없음,place,37.5830833927075,127.138607047366,확인,장자호수생태체험관,24323199,"화장실명""장자호수생태체험관(1층)"" — 카카오·네이버가 같은 시설로 확인(11m 차이)"
WC005840,수택1동 행정복지센터,좌표없음,place,37.59616919136259,127.14840915122764,확인,수택1동행정복지센터,8446372,"화장실명""수택1동 행정복지센터"" — 카카오·네이버가 같은 시설로 확인(18m 차이)"
WC005839,구리시 하수처리장,좌표없음,place,37.5928165352456,127.159513735303,확인,구리하수처리장,27056645,"화장실명""구리시 하수처리장"" — 카카오·네이버가 같은 시설로 확인(80m 차이)"
WC051398,지리산 호수공원 화장실,좌표없음,place,35.2807519100712,127.418250884386,확인,지리산호수공원,2092124096,"화장실명""지리산 호수공원 화장실"" — 카카오·네이버가 같은 시설로 확인(20m 차이)"
WC037530,동화 문화센터 화장실,좌표없음,place,35.2832162,126.7374972,추정,동화면문화센터,,"화장실명""동화 문화센터 화장실"" — 네이버에서만 찾음(이름 유사 0.92) — 정확하지 않을 수 있음"
WC021027,번개시장 화장실,좌표없음,place,37.8921807446698,127.726804459731,확인,춘천번개시장,27062335,"화장실명""번개시장 화장실"" — 카카오·네이버가 같은 시설로 확인(56m 차이)"
WC020925,후평시장 화장실,좌표없음,place,37.88079048809393,127.74678315460862,확인,후평일단지시장,18524771,"화장실명""후평시장 화장실"" — 카카오·네이버가 같은 시설로 확인(1m 차이)"
WC020883,대형주유소,좌표없음,place,37.8469390614726,127.714521463474,확인,대형주유소,10313952,"화장실명""대형주유소"" — 카카오·네이버가 같은 시설로 확인(4m 차이)"
WC020869,샘밭장터 화장실,좌표없음,place,37.9248289571681,127.747156676497,확인,신북읍샘밭장터,26931271,"화장실명""샘밭장터 화장실"" — 카카오·네이버가 같은 시설로 확인(56m 차이)"
WC037818,청룡어촌체험마을2,좌표없음,place,34.5185614468354,126.22423972705,추정,청룡어촌체험마을 화장실,1627646854,"화장실명""청룡어촌체험마을2"" — 카카오에서만 찾음(이름 유사 1.00) — 정확하지 않을 수 있음"
WC037798,고성사방댐,좌표없음,place,34.5012682,126.3126066,추정,고성사방댐공중화장실,,"화장실명""고성사방댐"" — 네이버에서만 찾음(이름 유사 1.00) — 정확하지 않을 수 있음"
WC037769,헌복동1,좌표없음,place,34.3791674613539,126.266995184443,확인,헌복동 화장실,632619709,"화장실명""헌복동1"" — 카카오·네이버가 같은 시설로 확인(15m 차이)"
WC037768,헌복동2,좌표없음,place,34.3791674613539,126.266995184443,확인,헌복동 화장실,632619709,"화장실명""헌복동2"" — 카카오·네이버가 같은 시설로 확인(15m 차이)"
WC037761,급치산전망대,좌표없음,place,34.4101300620109,126.101503329712,확인,급치산전망대,26557746,"화장실명""급치산전망대"" — 카카오·네이버가 같은 시설로 확인(58m 차이)"
WC031364,김해장유우체국,좌표없음,place,35.20050963236577,128.81359037963873,확인,김해장유우체국,23837379,"화장실명""김해장유우체국"" — 카카오·네이버가 같은 시설로 확인(0m 차이)"
WC031081,감노강변공원,좌표없음,place,35.3476655355222,128.926526781059,추정,감노강변공원 공중화장실,834934913,"화장실명""감노강변공원"" — 카카오에서만 찾음(이름 유사 1.00) — 정확하지 않을 수 있음"
WC030848,내동공원,좌표없음,place,35.2411629125189,128.859644808027,확인,내동공원,8223862,"화장실명""내동공원"" — 카카오·네이버가 같은 시설로 확인(20m 차이)"
WC030846,금병공원(우측),좌표없음,place,35.29545522517223,128.73653188946585,확인,금병공원,578009226,"화장실명""금병공원(우측)"" — 카카오·네이버가 같은 시설로 확인(44m 차이)"
WC030838,대성동고분박물관 기획전시관 화장실,좌표없음,place,35.2360625,128.8730813,추정,대성동고분박물관 기획전시관,,"화장실명""대성동고분박물관 기획전시관 화장실"" — 네이버에서만 찾음(이름 유사 1.00) — 정확하지 않을 수 있음"
WC048309,군산우체국 1층 화장실,좌표없음,place,35.9639127,126.565623,추정,산업단지우체국1층 화장실,,"화장실명""군산우체국 1층 화장실"" — 네이버에서만 찾음(이름 유사 0.75) — 정확하지 않을 수 있음"
WC048305,동국사,좌표없음,place,35.98276630107591,126.70742960285295,확인,동국사,8273888,"화장실명""동국사"" — 카카오·네이버가 같은 시설로 확인(20m 차이)"
WC048288,군산공항 출발장(보호구역),좌표없음,place,35.9262263,126.6154598,추정,군산공항출발장,,"화장실명""군산공항 출발장(보호구역)"" — 네이버에서만 찾음(이름 유사 1.00) — 정확하지 않을 수 있음"
WC048155,금강호,좌표없음,place,36.0135471978968,126.758562407493,확인,금강호휴게소,15515309,"화장실명""금강호"" — 카카오·네이버가 같은 시설로 확인(13m 차이)"
WC048110,고군산119지역대,좌표없음,place,35.803152393601486,126.42606133936559,확인,고군산119지역대,2023872594,"화장실명""고군산119지역대"" — 카카오·네이버가 같은 시설로 확인(3m 차이)"
WC048081,공항주유소,좌표없음,place,35.92692560624877,126.6182011808798,확인,공항주유소,15213379,"화장실명""공항주유소"" — 카카오·네이버가 같은 시설로 확인(2m 차이)"
WC047970,군산우체국 1층 화장실,좌표없음,place,35.9639127,126.565623,추정,산업단지우체국1층 화장실,,"화장실명""군산우체국 1층 화장실"" — 네이버에서만 찾음(이름 유사 0.75) — 정확하지 않을 수 있음"
WC043379,터미날주유소,좌표없음,place,37.0738968,127.0589909,추정,터미날주유소공중화장실,,"화장실명""터미날주유소"" — 네이버에서만 찾음(이름 유사 1.00) — 정확하지 않을 수 있음"
WC043359,제일주유소,좌표없음,place,37.0695192489246,127.064009481853,추정,제일주유소 화장실,146633189,"화장실명""제일주유소"" — 카카오에서만 찾음(이름 유사 1.00) — 정확하지 않을 수 있음"
WC043356,정원가스충전소,좌표없음,place,37.009045521756114,127.07302154214473,확인,정원충전소,9116864,"화장실명""정원가스충전소"" — 카카오·네이버가 같은 시설로 확인(2m 차이)"
WC043343,오성아이씨주유소,좌표없음,place,37.0116657315782,126.99595496853,추정,오성IC주유소,24910224,"화장실명""오성아이씨주유소"" — 카카오에서만 찾음(이름 유사 0.67) — 정확하지 않을 수 있음"
WC043303,명품주유소,좌표없음,place,37.0360125,127.0696322,추정,명품주유소공중화장실,,"화장실명""명품주유소"" — 네이버에서만 찾음(이름 유사 1.00) — 정확하지 않을 수 있음"
WC043286,대원주유소,좌표없음,place,37.0842600785897,127.05834893657,확인,대원 주유소,8294459,"화장실명""대원주유소"" — 카카오·네이버가 같은 시설로 확인(11m 차이)"
WC043274,그린주유소,좌표없음,place,37.0716984697367,127.089759095575,확인,그린주유소,674366245,"화장실명""그린주유소"" — 카카오·네이버가 같은 시설로 확인(8m 차이)"
WC043182,안정리 쇼핑몰주차장,좌표없음,place,36.95805583900978,127.04368938090879,확인,안정리쇼핑몰 공영주차장,27426247,"화장실명""안정리 쇼핑몰주차장"" — 카카오·네이버가 같은 시설로 확인(4m 차이)"
WC043019,배다리도서관(별동),좌표없음,place,37.00223180303015,127.11939454985905,확인,배다리도서관,1686433280,"화장실명""배다리도서관(별동)"" — 카카오·네이버가 같은 시설로 확인(1m 차이)"
WC043018,배다리도서관(3층),좌표없음,place,37.00223180303015,127.11939454985905,확인,배다리도서관,1686433280,"화장실명""배다리도서관(3층)"" — 카카오·네이버가 같은 시설로 확인(1m 차이)"
WC043017,배다리도서관(2층),좌표없음,place,37.00223180303015,127.11939454985905,확인,배다리도서관,1686433280,"화장실명""배다리도서관(2층)"" — 카카오·네이버가 같은 시설로 확인(1m 차이)"
WC043016,배다리도서관(1층),좌표없음,place,37.00223180303015,127.11939454985905,확인,배다리도서관,1686433280,"화장실명""배다리도서관(1층)"" — 카카오·네이버가 같은 시설로 확인(1m 차이)"
